City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
184,warman,52.3168,-106.5679,19.95,60,40,5.66,CA,1687974709
185,thaton,16.9206,97.3714,26.57,87,97,1.41,MM,1687974719
186,kenai,60.5544,-151.2583,11.19,95,100,4.63,US,1687974543
187,aktau,43.65,51.2,25.32,51,0,6.83,KZ,1687974719
188,kabompo,-13.5927,24.2008,19.37,32,0,1.36,ZM,1687974719
189,rabaul,-4.1967,152.1721,25.95,82,98,2.8,PG,1687974720
190,gray,35.4167,-100.802,37.6,14,17,11.2,US,1687974720
191,petrozavodsk,61.7849,34.3469,23.7,43,100,3.0,RU,1687974643
192,tete,-16.1564,33.5867,25.05,41,0,3.6,MZ,1687974720
193,aasiaat,68.7098,-52.8699,3.53,81,79,6.99,GL,1687974720
194,kendari,-3.945,122.4989,24.23,93,82,1.01,ID,1687974721
195,point fortin,10.1833,-61.6833,29.94,65,77,6.56,TT,1687974721
196,san luis de la loma,17.2706,-100.8939,32.06,58,10,4.15,MX,1687974721
197,tura,25.5198,90.2201,23.56,97,94,2.82,IN,1687974721
198,colonia,50.9333,6.95,24.36,58,0,2.06,DE,1687974722
199,chapadinha,-3.7417,-43.3603,34.24,36,13,2.07,BR,1687974722
200,nelson bay,-32.7167,152.15,10.56,95,87,4.92,AU,1687974722
201,richards bay,-28.783,32.0377,20.72,65,0,6.03,ZA,1687974722
202,hagere maryam,5.6333,38.2333,15.76,88,98,1.1,ET,1687974723
203,kotabumi,-4.8333,104.9,23.45,95,64,1.42,ID,1687974723
204,sanya,18.2431,109.505,28.09,89,0,2.0,CN,1687974458
205,daru,-9.0763,143.2092,23.63,75,12,3.81,PG,1687974723
206,atafu village,-8.5421,-172.5159,28.68,76,77,7.4,TK,1687974723
207,rio grande,-32.035,-52.0986,17.06,70,81,7.66,BR,1687974666
208,pointe michel,15.25,-61.3833,31.52,58,75,1.54,DM,1687974724
209,kharan,28.5833,65.4167,36.97,18,47,1.33,PK,1687974724
210,aketi,2.7388,23.7833,25.12,77,96,1.67,CD,1687974724
211,polyarnyy,69.1989,33.4478,9.75,81,80,6.36,RU,1687974724
212,chatillon-sur-seine,47.8585,4.5738,25.48,54,18,3.29,FR,1687974725
213,bobo-dioulasso,11.1771,-4.2979,29.25,61,40,2.06,BF,1687974725
214,tangalle,6.024,80.7911,26.15,86,49,4.96,LK,1687974725
215,punta arenas,-53.15,-70.9167,2.06,93,100,6.17,CL,1687974525
216,opi,6.7814,7.4365,25.65,96,97,2.36,NG,1687974727
217,arraial do cabo,-22.9661,-42.0278,28.98,57,0,4.63,BR,1687974727
218,newman,37.3138,-121.0208,26.14,28,0,1.08,US,1687974727
219,east london,-33.0153,27.9116,17.52,88,0,1.03,ZA,1687974727
220,la ronge,55.1001,-105.2842,21.14,43,20,4.63,CA,1687974728
221,keflavik,64.0049,-22.5624,9.24,81,100,14.4,IS,1687974728
222,vel'sk,61.0701,42.0983,17.98,67,24,1.44,RU,1687974728
223,novodvinsk,64.4165,40.8122,13.54,59,42,1.97,RU,1687974729
224,tongliao,43.6125,122.2653,21.76,66,100,2.51,CN,1687974729
225,luderitz,-26.6481,15.1594,13.47,92,98,4.86,NA,1687974729
226,severo-yeniseyskiy,60.3725,93.0408,11.81,66,98,1.91,RU,1687974729
227,ta`u,-14.2336,-169.5144,26.81,78,25,1.73,AS,1687974729
228,viqueque,-8.8673,126.3658,24.11,93,55,0.51,TL,1687974730
229,depalpur,22.85,75.55,24.22,84,100,5.86,IN,1687974730
230,persembe,41.0656,37.7714,23.68,89,5,1.31,TR,1687974730
231,palmer,42.1584,-72.3287,27.36,73,75,2.57,US,1687974730
232,rouissat,31.9243,5.3502,40.04,11,0,2.06,DZ,1687974731
233,ancud,-41.8697,-73.8203,8.7,76,88,1.78,CL,1687974460
234,necochea,-38.5473,-58.7368,11.18,68,37,7.62,AR,1687974731
235,amga,60.8953,131.9608,18.46,92,36,1.7,RU,1687974731
236,mingguang,32.7802,117.9638,26.17,89,100,3.98,CN,1687974731
237,pont rouge,48.8833,-72.0825,21.06,87,99,4.69,CA,1687974732
238,minbu,20.1833,94.8833,28.21,73,5,2.16,MM,1687974732
239,taunggyi,20.7833,97.0333,18.19,95,77,1.15,MM,1687974732
240,vyazemskiy,47.5378,134.7525,18.94,92,97,2.22,RU,1687974732
241,cockburn town,21.4612,-71.1419,28.33,73,5,4.7,TC,1687974733
242,harper,4.375,-7.7169,24.73,80,99,3.68,LR,1687974733
243,nar'yan-mar,67.6713,53.087,7.93,69,100,1.98,RU,1687974733
244,hithadhoo,-0.6,73.0833,27.94,62,24,1.98,MV,1687974733
245,sao mateus do maranhao,-4.0417,-44.475,33.84,40,15,2.57,BR,1687974734
246,aripuana,-9.1667,-60.6333,35.2,28,0,1.31,BR,1687974734
247,margaret river,-33.95,115.0667,10.65,75,83,1.69,AU,1687974734
248,tadine,-21.55,167.8833,19.47,66,3,4.18,NC,1687974734
249,los frentones,-26.4077,-61.4137,14.37,77,100,4.38,AR,1687974734
250,darhan,49.4867,105.9228,13.47,80,97,1.47,MN,1687974735
251,enriquillo,17.9,-71.2333,34.82,56,79,5.2,DO,1687974735
252,coahuayana de hidalgo,18.7,-103.6583,33.6,52,14,3.54,MX,1687974735
253,holdrege,40.4403,-99.3698,26.95,65,0,3.6,US,1687974735
254,papayal,-4.0761,-80.7361,31.58,47,11,3.65,PE,1687974736
255,margate,51.3813,1.3862,24.37,75,100,3.28,GB,1687974736
256,pisco,-13.7,-76.2167,21.12,64,0,3.6,PE,1687974736
257,kujama,10.4542,7.6368,24.98,68,56,2.6,NG,1687974736
258,i-n-salah,27.1935,2.4607,41.03,7,12,7.29,DZ,1687974736
259,bequimao,-2.4489,-44.7825,30.67,58,42,1.27,BR,1687974737
260,haiku-pauwela,20.9219,-156.3051,24.47,81,75,3.6,US,1687974737
261,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,100,75,1.0,RU,1687974737
262,peace river,56.2501,-117.286,24.17,60,75,2.57,CA,1687974737
263,mount gambier,-37.8333,140.7667,8.13,82,100,2.74,AU,1687974738
264,samaniego,1.3385,-77.5957,24.31,64,50,2.71,CO,1687974738
265,pingliang,35.5392,106.6861,19.04,36,85,1.98,CN,1687974738
266,katabu,-4.9333,122.5167,24.34,91,100,1.47,ID,1687974738
267,ben gardane,33.1378,11.2197,29.27,50,0,7.02,TN,1687974738
268,udachny,66.4167,112.4,13.03,54,99,4.08,RU,1687974739
269,marquette,46.5333,-87.6335,16.49,93,98,1.79,US,1687974739
270,banswara,23.55,74.45,27.45,82,91,5.55,IN,1687974739
271,belyy yar,53.6039,91.3903,16.94,82,40,5.0,RU,1687974739
272,wanning,18.8003,110.3967,27.12,88,95,2.01,CN,1687974740
273,point pedro,9.8167,80.2333,28.08,81,40,9.85,LK,1687974740
274,kone,-21.0595,164.8658,15.49,82,7,1.32,NC,1687974740
275,sinop,41.7711,34.8709,17.89,96,58,0.6,TR,1687974740
276,adam,22.3756,57.5233,31.27,57,79,6.45,OM,1687974740
277,caibiran,11.5717,124.5822,26.86,85,97,0.45,PH,1687974741
278,banamba,13.55,-7.45,31.9,41,56,1.75,ML,1687974741
279,bathsheba,13.2167,-59.5167,30.34,79,40,7.2,BB,1687974741
280,redencao,-4.2258,-38.7306,30.73,52,22,4.11,BR,1687974742
281,aldama,22.9167,-98.0667,33.22,39,14,4.05,MX,1687974742
282,buurhakaba,2.8026,44.0781,24.63,73,94,8.12,SO,1687974742
283,umm kaddadah,13.6017,26.6876,36.21,23,8,1.82,SD,1687974742
284,veseloyarsk,51.2836,81.1056,13.16,81,48,5.55,RU,1687974743
285,auki,-8.7676,160.7034,25.1,91,99,3.03,SB,1687974743
286,pacific grove,36.6177,-121.9166,17.79,89,100,3.13,US,1687974743
287,mil'kovo,55.6078,37.7956,19.22,91,92,3.77,RU,1687974743
288,san antonio de pale,-1.4014,5.6325,24.74,78,72,5.66,GQ,1687974743
289,mar del plata,-38.0023,-57.5575,12.19,73,20,7.2,AR,1687974454
290,copiapo,-27.3667,-70.3333,15.83,27,0,2.25,CL,1687974499
291,ilulissat,69.2167,-51.1,7.01,76,40,2.06,GL,1687974744
292,college,64.8569,-147.8028,19.56,63,100,0.0,US,1687974744
293,katwijk aan zee,52.2033,4.3986,22.73,69,96,2.88,NL,1687974745
294,mejit,10.2753,170.8646,27.64,77,100,8.34,MH,1687974745
295,puerto carreno,6.189,-67.4859,31.13,58,36,3.43,CO,1687974745
